id	name	element	description	imagepath	power
93	Air Funnel	AIR	Technique to create a cannon for small projectiles.	com/avatarduel/card/image/skill/Air Funnel.png	2
94	Air Scooter	AIR	A form of transportation invented by Aang.	com/avatarduel/card/image/skill/Air Scooter.png	2
95	Airbender Staff	AIR	A wooden stave used primarily by airbenders to augment their bending.	com/avatarduel/card/image/skill/Airbender Staff.png	2
96	Airbender Upgraded Staff	AIR	Upgraded staff made by Mechanist for Aang at the Fire Nation Invasion.	com/avatarduel/card/image/skill/Airbender Upgraded Staff.png	2
97	Asphyxiation	AIR	Manipulates the flow of air within a person's respiratory system and prevents any new intake of breath by forming a ball of air around the head.	com/avatarduel/card/image/skill/Asphyxiation.png	3
98	Glider	AIR	Aerial transportation made by Mechanist, inspired from Air nomad gliders.	com/avatarduel/card/image/skill/Glider.png	1
99	Hot Air Balloon	AIR	Air balloon created by Mechanist, originally developed for the Fire Nation	com/avatarduel/card/image/skill/Hot Air Balloon.png	3
100	Crystal Armor	EARTH	Armor made of crystal that makes the person cannot move.	com/avatarduel/card/image/skill/Crystal Armor.png	3
101	Earth Sink	EARTH	Make the person sink to the ground.	com/avatarduel/card/image/skill/Earth Sink.png	2
102	Lavabending	EARTH	Manipulate molten earth.	com/avatarduel/card/image/skill/Lavabending.png	4
103	Metalbending	EARTH	Ability to bend metal.	com/avatarduel/card/image/skill/Metalbending.png	4
104	Rock Gloves	EARTH	Favored weapons of Ba Sing Se's secret police force, known as the Dai Li.	com/avatarduel/card/image/skill/Rock Gloves.png	1
105	Slinky Tank	EARTH	Stone vehicles provided both transportation and protection during the invasion of the Fire Nation.	com/avatarduel/card/image/skill/Slinky Tank.png	3
106	Surface Rocks	EARTH	Largse rocks used as projectiles of Royal Earthbender Guards.	com/avatarduel/card/image/skill/Surface Rocks.png	2
107	Blue Fire	FIRE	Bend completely blue flames, which are hotter than the orange flames.	com/avatarduel/card/image/skill/Blue Fire.png	3
108	Combustionbending	FIRE	Ignite objects with their mind instead of traditional firebending methods.	com/avatarduel/card/image/skill/Combustionbending.png	3
109	Fire Armor	FIRE	Fire Nation armor.	com/avatarduel/card/image/skill/Fire Armor.png	1
110	Lightningbending	FIRE	Manipulate lightning by separating the yin and yang energies.	com/avatarduel/card/image/skill/Lightningbending.png	4
111	Shozin Comet	FIRE	Formerly known as the Great Comet. A celestial object that passes close to the Earth every one hundred years, just skimming the surface of the upper atmosphere.	com/avatarduel/card/image/skill/Shozin Comet.png	4
112	Trebuchets	FIRE	Large weapons to conduct long-range artilery warfare.	com/avatarduel/card/image/skill/Trebuchets.png	2
113	Wall of Flames	FIRE	Wall of concentrated flames acts as a barrier to incoming attacks.	com/avatarduel/card/image/skill/Wall of Flames.png	3
114	Bloodbending	WATER	Ability that allows waterbender to manipulate person's movement.	com/avatarduel/card/image/skill/Bloodbending.png	4
115	Club	WATER	A blunt force weapon used for striking. Mostly used by Sokka.	com/avatarduel/card/image/skill/Club.png	1
116	Full Moon	WATER	Enhance the ability of water bending.	com/avatarduel/card/image/skill/Full Moon.png	4
117	Ice Claws	WATER	Drawing water around the fingers and freezing it.	com/avatarduel/card/image/skill/Ice Claws.png	3
118	Ice Prison	WATER	This technique covers an opponent in a prison made of ice.	com/avatarduel/card/image/skill/Ice Prison.png	3
119	Tangle Mine	WATER	Military weapons invented by Hakoda to aid the Southern Water Tribe's quest to defeat the Fire Nation.	com/avatarduel/card/image/skill/Tangle Mine.png	2
120	Wolf Armor	WATER	Protective battle gear worn by the warriors of the Southern Water Tribe.	com/avatarduel/card/image/skill/Wolf Armor.png	2
