id,name,element,description,imagepath,power,attack,defense
120,Air Funnel,AIR,Technique to create a cannon for small projectiles.,com/avatarduel/card/image/skill/Air Funnel.png,2,4,0
121,Air Scooter,AIR,A form of transportation invented by Aang.,com/avatarduel/card/image/skill/Air Scooter.png,2,2,4
122,Airbender Staff,AIR,A wooden stave used primarily by airbenders to augment their bending.,com/avatarduel/card/image/skill/Airbender Staff.png,2,2,2
123,Airbender Upgraded Staff,AIR,Upgraded staff made by Mechanist for Aang at the Fire Nation Invasion.,com/avatarduel/card/image/skill/Airbender Upgraded Staff.png,2,3,3
124,Asphyxiation,AIR,Manipulates the flow of air within a person's respiratory system and prevents any new intake of breath by forming a ball of air around the head.,com/avatarduel/card/image/skill/Asphyxiation.png,3,-3,-3
125,Glider,AIR,Aerial transportation made by Mechanist inspired from Air nomad gliders.,com/avatarduel/card/image/skill/Glider.png,1,2,-1
126,Hot Air Balloon,AIR,Air balloon created by Mechanist originally developed for the Fire Nation,com/avatarduel/card/image/skill/Hot Air Balloon.png,3,3,2
127,Crystal Armor,EARTH,Armor made of crystal that makes the person cannot move.,com/avatarduel/card/image/skill/Crystal Armor.png,3,-4,2
128,Earth Sink,EARTH,Make the person sink to the ground.,com/avatarduel/card/image/skill/Earth Sink.png,2,-4,2
129,Lavabending,EARTH,Manipulate molten earth.,com/avatarduel/card/image/skill/Lavabending.png,4,4,-2
130,Metalbending,EARTH,Ability to bend metal.,com/avatarduel/card/image/skill/Metalbending.png,4,1,3
131,Rock Gloves,EARTH,Favored weapons of Ba Sing Se's secret police force known as the Dai Li.,com/avatarduel/card/image/skill/Rock Gloves.png,1,-2,-2
132,Slinky Tank,EARTH,Stone vehicles provided both transportation and protection during the invasion of the Fire Nation.,com/avatarduel/card/image/skill/Slinky Tank.png,3,-1,5
133,Surface Rocks,EARTH,Largse rocks used as projectiles of Royal Earthbender Guards.,com/avatarduel/card/image/skill/Surface Rocks.png,2,3,0
134,Blue Fire,FIRE,Bend completely blue flames which are hotter than the orange flames.,com/avatarduel/card/image/skill/Blue Fire.png,3,3,0
135,Combustionbending,FIRE,Ignite objects with their mind instead of traditional firebending methods.,com/avatarduel/card/image/skill/Combustionbending.png,3,3,0
136,Fire Armor,FIRE,Fire Nation armor.,com/avatarduel/card/image/skill/Fire Armor.png,1,0,2
137,Lightningbending,FIRE,Manipulate lightning by separating the yin and yang energies.,com/avatarduel/card/image/skill/Lightningbending.png,4,4,-2
138,Shozin Comet,FIRE,Formerly known as the Great Comet. A celestial object that passes close to the Earth every one hundred years just skimming the surface of the upper atmosphere.,com/avatarduel/card/image/skill/Shozin Comet.png,4,4,-1
139,Trebuchets,FIRE,Large weapons to conduct long-range artilery warfare.,com/avatarduel/card/image/skill/Trebuchets.png,2,2,0
140,Wall of Flames,FIRE,Wall of concentrated flames acts as a barrier to incoming attacks.,com/avatarduel/card/image/skill/Wall of Flames.png,3,0,3
141,Bloodbending,WATER,Ability that allows waterbender to manipulate person's movement.,com/avatarduel/card/image/skill/Bloodbending.png,4,4,1
142,Club,WATER,A blunt force weapon used for striking. Mostly used by Sokka.,com/avatarduel/card/image/skill/Club.png,1,1,1
143,Full Moon,WATER,Enhance the ability of water bending.,com/avatarduel/card/image/skill/Full Moon.png,4,4,2
144,Ice Claws,WATER,Drawing water around the fingers and freezing it.,com/avatarduel/card/image/skill/Ice Claws.png,3,3,0
145,Ice Prison,WATER,This technique covers an opponent in a prison made of ice.,com/avatarduel/card/image/skill/Ice Prison.png,3,-4,2
146,Tangle Mine,WATER,Military weapons invented by Hakoda to aid the Southern Water Tribe's quest to defeat the Fire Nation.,com/avatarduel/card/image/skill/Tangle Mine.png,2,2,-1
147,Wolf Armor,WATER,Protective battle gear worn by the warriors of the Southern Water Tribe.,com/avatarduel/card/image/skill/Wolf Armor.png,2,2,1
148,Astral Buff,ENERGY,Drawing spirits to possess the user in exchange for exceptional power.,com/avatarduel/card/image/skill/Astral Buff.png,2,2,2
149,Unbreakable Bond,ENERGY,Loyal pet that would never betray their master.,com/avatarduel/card/image/skill/Unbreakable Bond.png,1,1,1
150,Energy Barrier,ENERGY,A Barrier that protects anyone inside it made out of exceptional energy.,com/avatarduel/card/image/skill/Energy Barrier.png,2,0,5
